hero_name,win_rate,pick_rate,ban_rate,lane,img_src,predicted_pick_rate
Ли Сун-Син,55%,1.0666666666666667,85.85000000000001,['Jungle'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_961378be3f498d42c25b3defd1635ad1.png,1.9824000000000002
Алукард,55%,1.3733333333333333,7.336666666666666,['Jungle'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_0f51b6906e08897aa02330d65b0deeac.png,1.474090222222222
Эймон,54%,1.06,17.546666666666667,['Jungle'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_b3a7602fe7ffd1e54bf8ea79ceadfa72.png,1.2459946666666668
Фредрин,53%,0.9933333333333333,10.9,['Jungle'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_dea170bfd5f26c41fb04e5edf72afedb.png,1.1016066666666666
Пополь,52%,0.7966666666666667,1.2866666666666668,Jungle,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_1acbb23b9a50f412104047a60eb18808.png,0.8069171111111112
