hero_name,win_rate,pick_rate,ban_rate,lane,img_src,predicted_pick_rate
Иритель,56%,2.12,10.893333333333333,['Gold Lane'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_a7c51b517dbce49dac4e537bd4ab4f87.png,2.350938666666667
Ванван,55%,0.98,77.75333333333333,['Gold Lane'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_1_9_47/100_44bfa1dc44deb8d7620605faaa9ffae7.png,1.7419826666666667
Москов,52%,1.3766666666666667,0.4466666666666667,['Gold Lane'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_a60a866ab6752a7f66766e720da987ea.png,1.3828157777777779
Иксия,52%,0.9066666666666666,2.6,['Gold Lane'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_f070d82521ecd2e14d4ef3f25880830a.png,0.93024
Броуди,51%,0.9333333333333332,0.91,['Gold Lane'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_f18e45a9a4cb45897e1f614593ff4497.png,0.9418266666666666
